time,subcycling_density,trapezoid_density,relative_difference_percent
9.999999999999999547e-08,2.259699000000000000e+09,2.259716000000000000e+09,7.523069270651710529e-04
1.999999999999999909e-07,2.271270000000000000e+09,2.271300000000000000e+09,1.320829480914013834e-03
2.999999999999999864e-07,2.296812000000000000e+09,2.299519000000000000e+09,1.177202710653836859e-01
3.999999999999999819e-07,2.340990000000000000e+09,2.348008000000000000e+09,2.988916562464863369e-01
4.999999999999999774e-07,2.404567000000000000e+09,2.414341000000000000e+09,4.048309662968072598e-01
5.999999999999999728e-07,2.485181000000000000e+09,2.496616000000000000e+09,4.580199758392960452e-01
6.999999999999999683e-07,2.580934000000000000e+09,2.593326000000000000e+09,4.778419681906555527e-01
7.999999999999999638e-07,2.690349000000000000e+09,2.703262000000000000e+09,4.776821484561984965e-01
8.999999999999999593e-07,2.812292000000000000e+09,2.825454000000000000e+09,4.658366407664042974e-01
9.999999999999999547e-07,2.943191000000000000e+09,2.956220000000000000e+09,4.407317452692965376e-01
1.100000000000000056e-06,3.091442000000000000e+09,3.104002000000000000e+09,4.046389145367818574e-01
1.150000000000000001e-06,3.169399000000000000e+09,3.177191000000000000e+09,2.452480823469536386e-01
1.199999999999999946e-06,3.247356000000000000e+09,3.257916000000000000e+09,3.241335872379766392e-01
1.250000000000000102e-06,3.336858000000000000e+09,3.344251000000000000e+09,2.210659427178163217e-01
1.300000000000000047e-06,3.426360000000000000e+09,3.435227000000000000e+09,2.581197690865843497e-01
1.349999999999999992e-06,3.524145000000000000e+09,3.530309000000000000e+09,1.746022798570890100e-01
1.399999999999999937e-06,3.621930000000000000e+09,3.629207000000000000e+09,2.005121228962690738e-01
1.450000000000000093e-06,3.727135000000000000e+09,3.731773000000000000e+09,1.242840869474107768e-01
1.500000000000000038e-06,3.832340000000000000e+09,3.837939000000000000e+09,1.458855911988178877e-01
1.549999999999999983e-06,3.944848000000000000e+09,3.947687000000000000e+09,7.191552927068432799e-02
1.599999999999999928e-06,4.057356000000000000e+09,4.061024000000000000e+09,9.032204685320746607e-02
1.650000000000000084e-06,4.171017000000000000e+09,4.168686000000000000e+09,5.591690043337397414e-02
1.700000000000000029e-06,4.284678000000000000e+09,4.285801000000000000e+09,2.620280316328266537e-02
1.749999999999999974e-06,4.412660500000000000e+09,4.409528000000000000e+09,7.103934933625549730e-02
1.799999999999999919e-06,4.540643000000000000e+09,4.538752000000000000e+09,4.166343523506021301e-02
1.850000000000000075e-06,4.678993000000000000e+09,4.664555000000000000e+09,3.095257746987654657e-01
1.900000000000000020e-06,4.817343000000000000e+09,4.799879000000000000e+09,3.638425051964851442e-01
1.949999999999999965e-06,4.957817000000000000e+09,4.942829000000000000e+09,3.032271599927895411e-01
1.999999999999999909e-06,5.098291000000000000e+09,5.092236000000000000e+09,1.189065078680563853e-01
2.049999999999999854e-06,5.254148500000000000e+09,5.247329000000000000e+09,1.299613574830165985e-01
2.099999999999999799e-06,5.410006000000000000e+09,5.407582000000000000e+09,4.482594993473978245e-02
2.150000000000000167e-06,5.577318500000000954e+09,5.572649000000000000e+09,8.379318345729210027e-02
2.200000000000000112e-06,5.744631000000000000e+09,5.742304000000000000e+09,4.052380368576794650e-02
2.250000000000000057e-06,5.921701000000000000e+09,5.916406000000000000e+09,8.949690065218647572e-02
2.300000000000000002e-06,6.098771000000000000e+09,6.094866000000000000e+09,6.407031754266624690e-02
2.349999999999999947e-06,6.284865500000000000e+09,6.277628000000000000e+09,1.152903612638404296e-01
2.399999999999999891e-06,6.470960000000000000e+09,6.464656000000000000e+09,9.751485616558715208e-02
2.449999999999999836e-06,6.649085499999999046e+09,6.644020000000000000e+09,7.624149234949693932e-02
2.500000000000000205e-06,6.827211000000000000e+09,6.825490000000000000e+09,2.521430695818175499e-02
2.550000000000000149e-06,7.023160500000000000e+09,7.015679000000000000e+09,1.066397137041190241e-01
2.600000000000000094e-06,7.219110000000000000e+09,7.212770000000000000e+09,8.789965574945547699e-02
2.650000000000000039e-06,7.426480500000000000e+09,7.415589000000000000e+09,1.468730265390921774e-01
2.699999999999999984e-06,7.633851000000000000e+09,7.623338000000000000e+09,1.379054687067528817e-01
2.749999999999999928e-06,7.848517000000000000e+09,7.834019000000000000e+09,1.850646520004610718e-01
2.799999999999999873e-06,8.063183000000000000e+09,8.048878000000000000e+09,1.777266346936802743e-01
2.849999999999999818e-06,8.285578499999999046e+09,8.267621000000000000e+09,2.172027479246937676e-01
2.900000000000000186e-06,8.507974000000000000e+09,8.477762000000000000e+09,3.563676357038567666e-01
2.950000000000000131e-06,8.737439000000000000e+09,8.698620000000000000e+09,4.462661893495750154e-01
3.000000000000000076e-06,8.966904000000000000e+09,8.926847000000000000e+09,4.487250649641468803e-01
3.050000000000000021e-06,9.186924000000000000e+09,9.151675000000000000e+09,3.851644644286428276e-01
3.099999999999999966e-06,9.406944000000000000e+09,9.382570000000000000e+09,2.597795699898854949e-01
3.149999999999999910e-06,9.642798000000000000e+09,9.617996000000000000e+09,2.578707664257710586e-01
3.199999999999999855e-06,9.878652000000000000e+09,9.858050000000000000e+09,2.089865642799539625e-01
3.249999999999999800e-06,1.012518099999999809e+10,1.010235000000000000e+10,2.259969215083430238e-01
3.300000000000000168e-06,1.037171000000000000e+10,1.035068000000000000e+10,2.031750570976979253e-01
3.350000000000000113e-06,1.062499000000000000e+10,1.060288000000000000e+10,2.085282489285929797e-01
3.400000000000000058e-06,1.087827000000000000e+10,1.085806000000000000e+10,1.861290138385678361e-01
3.450000000000000003e-06,1.113943000000000000e+10,1.110464000000000000e+10,3.132924615295948345e-01
3.499999999999999947e-06,1.140059000000000000e+10,1.136237000000000000e+10,3.363734854612198122e-01
3.549999999999999892e-06,1.166112500000000000e+10,1.162775000000000000e+10,2.870288748898109921e-01
3.599999999999999837e-06,1.192166000000000000e+10,1.188962000000000000e+10,2.694787554185920087e-01
3.650000000000000205e-06,1.219890500000000191e+10,1.216319000000000000e+10,2.936318515126534190e-01
3.700000000000000150e-06,1.247615000000000000e+10,1.244423000000000000e+10,2.565044201208109831e-01
3.750000000000000095e-06,1.275875500000000000e+10,1.273285000000000000e+10,2.034501309604684061e-01
3.800000000000000040e-06,1.304136000000000000e+10,1.302785000000000000e+10,1.037009176494970292e-01
3.850000000000000408e-06,1.334206500000000191e+10,1.332883000000000000e+10,9.929603723659095882e-02
3.899999999999999929e-06,1.364277000000000000e+10,1.363525000000000000e+10,5.515117067893878650e-02
3.950000000000000298e-06,1.395623000000000191e+10,1.394670000000000000e+10,6.833157664538498655e-02
3.999999999999999819e-06,1.426969000000000000e+10,1.426285000000000000e+10,4.795675478603504682e-02
4.050000000000000187e-06,1.459350000000000191e+10,1.458307000000000000e+10,7.152129147019048450e-02
4.099999999999999709e-06,1.491731000000000000e+10,1.490759000000000000e+10,6.520168585264285444e-02
4.150000000000000077e-06,1.524860000000000191e+10,1.523628000000000000e+10,8.085963240372261163e-02
