time,subcycling_density,trapezoid_density,relative_difference_percent
9.726428999999999910e-06,1.961466000000000000e+13,1.962164800975289844e+13,3.561377591436286350e-02
1.271521000000000053e-05,1.961404738723233984e+13,1.962153000000000000e+13,3.813470594627511867e-02
1.943512999999999835e-05,1.961267000000000000e+13,1.962089952017110938e+13,4.194262430552219562e-02
1.953659999999999859e-05,1.961263307503546484e+13,1.962089000000000000e+13,4.208231616677508835e-02
2.566305999999999888e-05,1.961040365433751562e+13,1.962077000000000000e+13,5.283353131647929024e-02
2.971266999999999889e-05,1.960893000000000000e+13,1.962090835689266406e+13,6.104894164319443761e-02
3.239499999999999731e-05,1.960822035372542969e+13,1.962100000000000000e+13,6.513249209811075580e-02
3.998113999999999851e-05,1.960621333893255859e+13,1.962144000000000000e+13,7.760215900281225432e-02
4.161908000000000133e-05,1.960578000000000000e+13,1.962148856808012109e+13,8.005798349914952650e-02
4.706331000000000121e-05,1.960480253908141797e+13,1.962165000000000000e+13,8.586159124529299524e-02
5.327714000000000131e-05,1.960368690363256641e+13,1.962145000000000000e+13,9.052896889594598540e-02
5.359408000000000103e-05,1.960363000000000000e+13,1.962142867697339453e+13,9.071040272557756579e-02
5.907399999999999717e-05,1.960218931537242578e+13,1.962106000000000000e+13,9.617566343293491860e-02
6.580393000000000407e-05,1.960042000000000000e+13,1.962094410014730859e+13,1.046030203365927863e-01
6.662267999999999348e-05,1.960033887904226172e+13,1.962093000000000000e+13,1.049446736609237207e-01
7.272223000000000185e-05,1.959973454153047266e+13,1.962100000000000000e+13,1.083811144667822524e-01
7.650245999999999869e-05,1.959936000000000000e+13,1.962072469375864844e+13,1.088884029112571344e-01
7.890117999999999459e-05,1.959884213580981641e+13,1.962055000000000000e+13,1.106384081495350169e-01
8.486842000000000355e-05,1.959755385709857031e+13,1.962047000000000000e+13,1.167971149591711527e-01
8.808232999999999731e-05,1.959686000000000000e+13,1.962025133995958203e+13,1.192203889454874766e-01
9.133562999999999545e-05,1.959640751991712109e+13,1.962003000000000000e+13,1.203998163248420350e-01
9.703962000000000655e-05,1.959561418949326172e+13,1.962038000000000000e+13,1.262249278899709448e-01
1.013836999999999963e-04,1.959501000000000000e+13,1.962065838048883984e+13,1.307213040024441109e-01
1.034375999999999937e-04,1.959483329016293750e+13,1.962079000000000000e+13,1.322918691707239969e-01
1.114987000000000036e-04,1.959413974341403906e+13,1.962090000000000000e+13,1.363864888254918972e-01
1.145176999999999963e-04,1.959388000000000000e+13,1.962067307642271875e+13,1.365553379252558985e-01
1.184168000000000010e-04,1.959387701924179688e+13,1.962038000000000000e+13,1.350788351612105531e-01
1.257928000000000063e-04,1.959387138048605078e+13,1.962034000000000000e+13,1.349039798186434103e-01
1.275985999999999950e-04,1.959387000000000000e+13,1.962023951746376172e+13,1.343995695887937603e-01
1.328016000000000060e-04,1.959473918917610156e+13,1.961995000000000000e+13,1.284957954729672447e-01
1.396451999999999958e-04,1.959588244941933984e+13,1.962036000000000000e+13,1.247558688049564546e-01
1.399896999999999990e-04,1.959594000000000000e+13,1.962036997041515234e+13,1.245133014922216730e-01
1.458646000000000129e-04,1.959738128612653125e+13,1.962054000000000000e+13,1.180330096596156481e-01
1.513213999999999976e-04,1.959872000000000000e+13,1.962024517376726172e+13,1.097089948500816620e-01
1.521574999999999946e-04,1.959872094897055859e+13,1.962020000000000000e+13,1.094741696284513288e-01
1.573671000000000065e-04,1.959872686184822656e+13,1.962180000000000000e+13,1.175893045070963844e-01
1.601320000000000044e-04,1.959873000000000000e+13,1.962194811186387109e+13,1.183272513590681724e-01
1.637141000000000052e-04,1.959879351593062500e+13,1.962214000000000000e+13,1.189803154466077678e-01
1.691554999999999968e-04,1.959889000000000000e+13,1.962276974749246094e+13,1.216940717327250066e-01
1.694168999999999873e-04,1.959887009298969922e+13,1.962280000000000000e+13,1.219495026718958597e-01
1.755318999999999922e-04,1.959840440298208203e+13,1.962369000000000000e+13,1.288524075641123978e-01
1.791351000000000054e-04,1.959813000000000000e+13,1.962421706130409766e+13,1.329330042702049075e-01
1.831202999999999889e-04,1.959793185251556250e+13,1.962480000000000000e+13,1.369091531350001001e-01
1.887889999999999978e-04,1.959765000000000000e+13,1.962601094422843359e+13,1.445069214983491501e-01
1.896272000000000062e-04,1.959769817695279297e+13,1.962619000000000000e+13,1.451724611206099136e-01
1.966372000000000085e-04,1.959810108847639844e+13,1.962786000000000000e+13,1.516156703970863995e-01
1.994019999999999994e-04,1.959826000000000000e+13,1.962839695366688281e+13,1.535375188204188557e-01
2.020436999999999982e-04,1.959858501518510156e+13,1.962891000000000000e+13,1.544914354128601175e-01
2.075730999999999930e-04,1.959926531157171484e+13,1.963067000000000000e+13,1.599776697804260184e-01
2.084239999999999953e-04,1.959937000000000000e+13,1.963094749152100000e+13,1.608556669750094981e-01
2.121726999999999955e-04,1.959948385504112500e+13,1.963217000000000000e+13,1.664927766969978296e-01
2.164261999999999913e-04,1.959961304180384766e+13,1.963372000000000000e+13,1.737162300172985230e-01
2.166552999999999990e-04,1.959962000000000000e+13,1.963380816772993750e+13,1.741290708245232799e-01
2.202979000000000037e-04,1.960030629000751172e+13,1.963521000000000000e+13,1.777608184098274646e-01
2.237259999999999921e-04,1.960095216679188672e+13,1.963679000000000000e+13,1.825035212380092808e-01
2.253067999999999889e-04,1.960125000000000000e+13,1.963736557904627734e+13,1.839125462165549785e-01
2.279829999999999888e-04,1.960180878717122656e+13,1.963834000000000000e+13,1.860198612956769082e-01
2.331152000000000072e-04,1.960288038403250781e+13,1.964071000000000000e+13,1.926081896606191279e-01
2.342149000000000130e-04,1.960311000000000000e+13,1.964122449968660547e+13,1.940535819811724239e-01
2.375823999999999905e-04,1.960393669209398047e+13,1.964280000000000000e+13,1.978501430856065835e-01
2.425654999999999869e-04,1.960516000000000000e+13,1.964465650047789062e+13,2.010546759976679088e-01
2.427091000000000036e-04,1.960520874384693359e+13,1.964471000000000000e+13,2.010783368808519156e-01
2.482545999999999863e-04,1.960709111852086328e+13,1.964693000000000000e+13,2.027740796100801213e-01
2.517276000000000257e-04,1.960827000000000000e+13,1.964821634061466406e+13,2.033077197551582116e-01
2.540593999999999752e-04,1.960957032474150000e+13,1.964908000000000000e+13,2.010764639285910760e-01
2.577532000000000109e-04,1.961163016672201172e+13,1.964781000000000000e+13,1.841418116216936296e-01
2.604606999999999777e-04,1.961314000000000000e+13,1.964682992892435156e+13,1.714776839125214392e-01
2.615378999999999816e-04,1.961353678036660156e+13,1.964644000000000000e+13,1.674767521922467250e-01
2.654679999999999865e-04,1.961498440988644531e+13,1.964459000000000000e+13,1.507060728350893830e-01
2.655491999999999748e-04,1.961501431943505859e+13,1.964454000000000000e+13,1.502996790199282173e-01
2.688484999999999790e-04,1.961622959743684766e+13,1.964582000000000000e+13,1.506193305402998839e-01
2.695121999999999774e-04,1.961647406747891406e+13,1.964590000000000000e+13,1.497815448571250818e-01
2.696369000000000001e-04,1.961652000000000000e+13,1.964605449699941797e+13,1.503329689120471158e-01
2.726116000000000108e-04,1.961688169546714453e+13,1.964974000000000000e+13,1.672200473535805920e-01
2.737549999999999836e-04,1.961702072212433203e+13,1.965079000000000000e+13,1.718469225698710801e-01
2.763929999999999946e-04,1.961734147804671875e+13,1.965309000000000000e+13,1.818977166098626197e-01
2.777440000000000160e-04,1.961750574690613672e+13,1.965396000000000000e+13,1.854804481837923902e-01
2.793415999999999955e-04,1.961770000000000000e+13,1.965542654687500000e+13,1.919395988941186848e-01
2.803039999999999915e-04,1.961780876766591797e+13,1.965631000000000000e+13,1.958721262234978666e-01
