time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
1.945286000000000125e-07,-9.797617999999999450e-08,1.349173798688246050e-07,1.726193912861773470e+02
2.543041999999999830e-07,1.288370304905905581e-08,2.486066999999999943e-07,9.481763643173772493e+01
3.887025999999999882e-07,2.621391000000000077e-07,6.209417614926439267e-07,5.778362541281490650e+01
3.907319000000000155e-07,2.661591626826861355e-07,6.265636999999999952e-07,5.752081349706563884e+01
5.132611999999999903e-07,5.088908763108566984e-07,1.109160000000000067e-06,5.411925454300040883e+01
5.942532999999999708e-07,6.693369999999999538e-07,1.475046427303590822e-06,5.462264864275771004e+01
6.478999000000000324e-07,8.135219078303975152e-07,1.717398000000000010e-06,5.263055460467536051e+01
7.996227999999999490e-07,1.221304551134177803e-06,2.222076999999999867e-06,4.503770341288002754e+01
8.323816999999999658e-07,1.309350000000000008e-06,2.330381681704676457e-06,4.381392497720762691e+01
9.412661000000000511e-07,1.710255948403405193e-06,2.690366000000000018e-06,3.643036120723331805e+01
1.065542999999999922e-06,2.167836175315020298e-06,3.133539999999999987e-06,3.081830213384796835e+01
1.071881999999999989e-06,2.191176000000000059e-06,3.156309266774196699e-06,3.057790555995103077e+01
1.181479999999999910e-06,2.699328298169100901e-06,3.549978000000000132e-06,2.396211192945137114e+01
1.316079000000000042e-06,3.323398000000000177e-06,4.049704447454528988e-06,1.793480133867680237e+01
1.332453999999999948e-06,3.405838552413889678e-06,4.110499999999999862e-06,1.714296186804793010e+01
1.454444999999999972e-06,4.020006822919100227e-06,4.653751000000000364e-06,1.361792191032352406e+01
1.530049000000000045e-06,4.400637999999999624e-06,5.021612280314616826e-06,1.236603396779393726e+01
1.578023999999999996e-06,4.634999141719703401e-06,5.255041000000000158e-06,1.179899183051657907e+01
1.697368000000000009e-06,5.218002708106287317e-06,5.827744999999999884e-06,1.046274831677969175e+01
1.761647000000000025e-06,5.532010000000000420e-06,6.174832715605551404e-06,1.041036648622003824e+01
1.826712999999999954e-06,5.879902647528258228e-06,6.526169999999999893e-06,9.902704840231585592e+00
1.940791999999999900e-06,6.489856315148462363e-06,7.116394999999999820e-06,8.804158353373265911e+00
2.027673999999999791e-06,6.954394000000000115e-06,7.515144806969418577e-06,7.461610140224944843e+00
2.068751000000000126e-06,7.202887019019340858e-06,7.703670000000000054e-06,6.500576750829918815e+00
2.229973999999999954e-06,8.178196559768538207e-06,8.553371000000000815e-06,4.386275776316291619e+00
2.290354000000000128e-06,8.543461999999999823e-06,8.872715623924028462e-06,3.710855141533473400e+00
2.368336999999999802e-06,9.054305362309309792e-06,9.285161000000000461e-06,2.486285781050976418e+00
2.515855000000000157e-06,1.002065175987218100e-05,1.007533000000000032e-05,5.426942852275737916e-01
2.551973000000000190e-06,1.025725000000000077e-05,1.026310484794224490e-05,5.704753121973639429e-02
