plastic_strain,subcycling_stress,trapezoid_stress,relative_difference_percent
-1.150842999999999931e-08,2.516404113989636768e+06,1.234553000000000000e+06,1.038311934756658275e+02
2.486066999999999943e-07,3.933140764004459605e+06,2.613554000000000000e+06,5.049012815516571351e+01
2.621391000000000077e-07,4.006846000000000000e+06,2.662038085385374725e+06,5.051798176733980483e+01
6.265636999999999952e-07,5.849877432281944901e+06,3.967704000000000000e+06,4.743734493001355190e+01
6.693369999999999538e-07,6.066198000000000000e+06,4.072574104915640783e+06,4.895242772078803029e+01
1.109160000000000067e-06,7.693808981347253546e+06,5.150917000000000000e+06,4.936775299130724193e+01
1.309350000000000008e-06,8.434633000000000000e+06,5.573939898404900916e+06,5.132263988733976134e+01
1.717398000000000010e-06,9.513492965952467173e+06,6.436189000000000000e+06,4.781251709594710775e+01
2.191176000000000059e-06,1.076614000000000000e+07,7.830700435526344925e+06,3.748629625973360646e+01
2.222076999999999867e-06,1.082966949663581885e+07,7.921654000000000000e+06,3.670970098714004592e+01
2.690366000000000018e-06,1.179242683297091909e+07,9.310622000000000000e+06,2.665562873211820971e+01
3.133539999999999987e-06,1.270355013454958424e+07,1.052132000000000000e+07,2.074102997104530743e+01
3.323398000000000177e-06,1.309388000000000000e+07,1.103614201614646241e+07,1.864544675886697789e+01
3.549978000000000132e-06,1.351911187590509094e+07,1.165054000000000000e+07,1.603850015454297306e+01
4.110499999999999862e-06,1.457106624763283879e+07,1.311690000000000000e+07,1.108620365812683417e+01
4.400637999999999624e-06,1.511558000000000000e+07,1.373934567148518749e+07,1.001673850721338788e+01
4.653751000000000364e-06,1.560242852788472921e+07,1.428236000000000000e+07,9.242649869382436378e+00
5.255041000000000158e-06,1.675897580649865791e+07,1.545448000000000000e+07,8.440890968176592679e+00
5.532010000000000420e-06,1.729171000000000000e+07,1.600166768342809007e+07,8.061924182489583757e+00
5.827744999999999884e-06,1.781097152884874865e+07,1.658593000000000000e+07,7.386028572704386619e+00
6.526169999999999893e-06,1.903728979786049202e+07,1.779553000000000000e+07,6.977930962778248869e+00
6.954394000000000115e-06,1.978918000000000000e+07,1.857539865619043633e+07,6.534348824890813923e+00
7.116394999999999820e-06,2.003657725846848637e+07,1.887043000000000000e+07,6.179759859571225533e+00
7.703670000000000054e-06,2.093342496290907636e+07,2.008949000000000000e+07,4.200877985997037989e+00
8.543461999999999823e-06,2.221590000000000000e+07,2.158455915529109538e+07,2.924965203906617628e+00
8.553371000000000815e-06,2.222971227598162740e+07,2.160220000000000000e+07,2.904853561126308659e+00
9.285161000000000461e-06,2.324976328421601653e+07,2.290014000000000000e+07,1.526729898664447083e+00
1.007533000000000032e-05,2.435118949272605404e+07,2.428247000000000000e+07,2.830004226343285634e-01
1.025725000000000077e-05,2.460477000000000000e+07,2.461167687734127417e+07,2.806341630314911073e-02
1.080410000000000045e-05,2.529069850783205405e+07,2.560127000000000000e+07,1.213109709666535752e+00
1.152844999999999971e-05,2.619926998931353539e+07,2.688492000000000000e+07,2.550314491121656868e+00
1.203519999999999956e-05,2.683490000000000000e+07,2.767675989107404649e+07,3.041757396412404280e+00
1.226473000000000005e-05,2.710455926558437571e+07,2.803542000000000000e+07,3.320302440325931137e+00
1.298270999999999924e-05,2.794806538462880626e+07,2.920539000000000000e+07,4.305111540613543397e+00
1.350256999999999971e-05,2.855881372169451788e+07,3.018990000000000000e+07,5.402754822988755201e+00
1.375438999999999927e-05,2.885466000000000000e+07,3.061684556477454677e+07,5.755607843552589031e+00
1.420161000000000039e-05,2.946118194940526783e+07,3.137508000000000000e+07,6.100057914098488965e+00
1.485630999999999939e-05,3.034908928869158402e+07,3.243502000000000000e+07,6.431106598079532333e+00
1.493474999999999961e-05,3.045547000000000000e+07,3.255592668342051655e+07,6.451841177324553200e+00
1.558848000000000021e-05,3.137077697841480747e+07,3.356358000000000000e+07,6.533281079030284211e+00
1.610406999999999843e-05,3.209267000000000000e+07,3.434715006742158532e+07,6.563805331726689118e+00
1.650954999999999849e-05,3.263405450771020725e+07,3.496338000000000000e+07,6.662186242548038706e+00
1.735369999999999955e-05,3.376113779710443318e+07,3.615087000000000000e+07,6.610441748415921026e+00
1.746201000000000055e-05,3.390575000000000000e+07,3.630921275281345844e+07,6.619429534800981507e+00
1.823428999999999851e-05,3.484928151811036468e+07,3.743824000000000000e+07,6.915278287359756249e+00
1.887942999999999959e-05,3.563748000000000000e+07,3.826858012007970363e+07,6.875353388664537491e+00
1.899211999999999868e-05,3.577304041129737347e+07,3.841362000000000000e+07,6.874071198451556342e+00
1.975231999999999861e-05,3.668752283802790195e+07,3.941467000000000000e+07,6.919117074866028005e+00
2.042538000000000128e-05,3.749718022047363967e+07,4.023900000000000000e+07,6.813836774090709092e+00
2.045784999999999929e-05,3.753624000000000000e+07,4.028014707747294009e+07,6.812058238505033891e+00
2.102972000000000099e-05,3.818114266797903180e+07,4.100484000000000000e+07,6.886253749608505004e+00
2.158878000000000102e-05,3.881159938989198208e+07,4.170012000000000000e+07,6.926888004418255029e+00
2.187513999999999941e-05,3.913453000000000000e+07,4.206161214487415552e+07,6.959034605692984599e+00
2.207747999999999856e-05,3.934816705258997530e+07,4.231704000000000000e+07,7.015785951498555661e+00
2.268007999999999851e-05,3.998441143279518932e+07,4.308363000000000000e+07,7.193494529603959187e+00
2.324155999999999843e-05,4.057724000000000000e+07,4.378527835722997785e+07,7.326751085277170894e+00
2.341798000000000038e-05,4.074980650654820353e+07,4.400574000000000000e+07,7.398883630753161356e+00
2.408907000000000076e-05,4.140623807258059084e+07,4.480322000000000000e+07,7.582003988595929833e+00
2.475876999999999877e-05,4.206131000000000000e+07,4.549657398293606192e+07,7.550599269792251711e+00
2.495288000000000155e-05,4.222704309841958433e+07,4.569754000000000000e+07,7.594493930264989423e+00
2.597524000000000103e-05,4.309994449711232632e+07,4.664623000000000000e+07,7.602512577946114902e+00
2.651969999999999954e-05,4.356481000000000000e+07,4.717125212202409655e+07,7.645423769322122531e+00
