total_strain,subcycling_stress,trapezoid_stress,relative_difference_percent
9.726428999999999910e-06,2.045451000000000000e+06,2.010829676817528903e+06,1.721743197925399649e+00
1.271521000000000053e-05,2.649257843932571821e+06,2.613554000000000000e+06,1.366103165749466886e+00
1.943512999999999835e-05,4.006846000000000000e+06,3.947560656707797199e+06,1.501822225111693054e+00
1.953659999999999859e-05,4.027177951754991896e+06,3.967704000000000000e+06,1.498951326888091851e+00
2.566305999999999888e-05,5.254761367039194331e+06,5.150917000000000000e+06,2.016036504552380482e+00
2.971266999999999889e-05,6.066198000000000000e+06,5.924074565860658884e+06,2.399082465274358089e+00
3.239499999999999731e-05,6.599769769622413442e+06,6.436189000000000000e+06,2.541578092601280758e+00
3.998113999999999851e-05,8.108812335005261004e+06,7.921654000000000000e+06,2.362616885378495457e+00
4.161908000000000133e-05,8.434633000000000000e+06,8.242889757673143409e+06,2.326165312939756369e+00
4.706331000000000121e-05,9.494612987858872861e+06,9.310622000000000000e+06,1.976140668785316912e+00
5.327714000000000131e-05,1.070443245690354891e+07,1.052132000000000000e+07,1.740394331733555511e+00
5.359408000000000103e-05,1.076614000000000000e+07,1.058305945667137019e+07,1.729939665161940532e+00
5.907399999999999717e-05,1.181085627258319966e+07,1.165054000000000000e+07,1.376041561877815678e+00
6.580393000000000407e-05,1.309388000000000000e+07,1.295785467684416473e+07,1.049751880601918375e+00
6.662267999999999348e-05,1.324859909458588995e+07,1.311690000000000000e+07,1.004041309958069172e+00
7.272223000000000185e-05,1.440123036589138955e+07,1.428236000000000000e+07,8.322879824580079466e-01
7.650245999999999869e-05,1.511558000000000000e+07,1.499945322580697387e+07,7.742067157036551794e-01
7.890117999999999459e-05,1.556635592007509433e+07,1.545448000000000000e+07,7.239060782057650245e-01
8.486842000000000355e-05,1.668774070083688386e+07,1.658593000000000000e+07,6.138377578880644947e-01
8.808232999999999731e-05,1.729171000000000000e+07,1.718704632929810509e+07,6.089683398565041150e-01
9.133562999999999545e-05,1.790255077437136322e+07,1.779553000000000000e+07,6.013913290099436315e-01
9.703962000000000655e-05,1.897353398176278174e+07,1.887043000000000000e+07,5.463785497351238973e-01
1.013836999999999963e-04,1.978918000000000000e+07,1.969814346031090990e+07,4.621579687066265651e-01
1.034375999999999937e-04,2.016867141221257672e+07,2.008949000000000000e+07,3.941434661237129822e-01
1.114987000000000036e-04,2.165809067458504811e+07,2.160220000000000000e+07,2.587267712781480822e-01
1.145176999999999963e-04,2.221590000000000000e+07,2.216860997672771290e+07,2.133197495103729135e-01
1.184168000000000010e-04,2.292796438524872065e+07,2.290014000000000000e+07,1.215031229010855307e-01
1.257928000000000063e-04,2.427498982845217362e+07,2.428247000000000000e+07,3.080482153515017030e-02
1.275985999999999950e-04,2.460477000000000000e+07,2.462225556100901589e+07,7.101526895328566513e-02
1.328016000000000060e-04,2.554119746729507670e+07,2.560127000000000000e+07,2.346466902029598622e-01
1.396451999999999958e-04,2.677289745099304989e+07,2.688492000000000000e+07,4.166742880653916958e-01
1.399896999999999990e-04,2.683490000000000000e+07,2.694864757018361986e+07,4.220900877766936010e-01
1.458646000000000129e-04,2.788204103126627207e+07,2.803542000000000000e+07,5.470899623894628361e-01
1.513213999999999976e-04,2.885466000000000000e+07,2.904994308093247935e+07,6.722322325672898113e-01
1.521574999999999946e-04,2.900657215592581779e+07,2.920539000000000000e+07,6.807573673016598104e-01
1.573671000000000065e-04,2.995311152622976899e+07,3.018990000000000000e+07,7.843301030153494446e-01
1.601320000000000044e-04,3.045547000000000000e+07,3.070619182007247582e+07,8.165187710075473282e-01
1.637141000000000052e-04,3.110539676012633741e+07,3.137508000000000000e+07,8.595459832251027832e-01
1.691554999999999968e-04,3.209267000000000000e+07,3.238643538963316381e+07,9.070630530928932567e-01
1.694168999999999873e-04,3.214016079241652787e+07,3.243502000000000000e+07,9.090766942134522743e-01
1.755318999999999922e-04,3.325112558058439195e+07,3.356358000000000000e+07,9.309329321115568101e-01
1.791351000000000054e-04,3.390575000000000000e+07,3.422824703916504234e+07,9.421956046888146918e-01
1.831202999999999889e-04,3.462062071504779905e+07,3.496338000000000000e+07,9.803379563194433155e-01
1.887889999999999978e-04,3.563748000000000000e+07,3.599790097972921282e+07,1.001227765841596007e+00
1.896272000000000062e-04,3.578744142768303305e+07,3.615087000000000000e+07,1.005310722306176796e+00
1.966372000000000085e-04,3.704159271384152025e+07,3.743824000000000000e+07,1.059470974486193207e+00
1.994019999999999994e-04,3.753624000000000000e+07,3.793703415962267667e+07,1.056472042427744062e+00
2.020436999999999982e-04,3.800422965783639997e+07,3.841362000000000000e+07,1.065742677111920278e+00
2.075730999999999930e-04,3.898378903779649734e+07,3.941467000000000000e+07,1.093199466603431258e+00
2.084239999999999953e-04,3.913453000000000000e+07,3.956716639033829421e+07,1.093422728507385644e+00
2.121726999999999955e-04,3.979156922551723570e+07,4.023900000000000000e+07,1.111933135720977850e+00
2.164261999999999913e-04,4.053708536330834776e+07,4.100484000000000000e+07,1.140730305719159565e+00
2.166552999999999990e-04,4.057724000000000000e+07,4.104598178474572301e+07,1.141991893881133979e+00
2.202979000000000037e-04,4.120208810518407077e+07,4.170012000000000000e+07,1.194317653800347045e+00
2.237259999999999921e-04,4.179014108640120178e+07,4.231704000000000000e+07,1.245122328023883895e+00
2.253067999999999889e-04,4.206131000000000000e+07,4.260170654263565689e+07,1.268485669922235770e+00
2.279829999999999888e-04,4.251299629674116522e+07,4.308363000000000000e+07,1.324479165889305810e+00
2.331152000000000072e-04,4.337920375961203873e+07,4.400574000000000000e+07,1.423760264883538573e+00
2.342149000000000130e-04,4.356481000000000000e+07,4.420205732539398223e+07,1.441668926635876424e+00
2.375823999999999905e-04,4.411421343508251011e+07,4.480322000000000000e+07,1.537850549396873490e+00
2.425654999999999869e-04,4.492720000000000000e+07,4.567248989915540069e+07,1.631813594575195259e+00
2.427091000000000036e-04,4.494922704663778096e+07,4.569754000000000000e+07,1.637534434812506268e+00
2.482545999999999863e-04,4.579986066174785048e+07,4.664623000000000000e+07,1.814443178477980867e+00
2.517276000000000257e-04,4.633259000000000000e+07,4.724480317737045884e+07,1.930822261965512876e+00
2.540593999999999752e-04,4.664322342936643213e+07,4.764669000000000000e+07,2.106057253155608322e+00
2.577532000000000109e-04,4.713529726133904606e+07,4.816622000000000000e+07,2.140343873073190739e+00
2.604606999999999777e-04,4.749598000000000000e+07,4.855100878114513308e+07,2.173031637511217529e+00
2.615378999999999816e-04,4.764950230640134215e+07,4.870410000000000000e+07,2.165316048543465044e+00
2.654679999999999865e-04,4.820961929153680056e+07,4.920720000000000000e+07,2.027306386998649401e+00
2.655491999999999748e-04,4.822119189762646705e+07,4.921890000000000000e+07,2.027083300060612991e+00
2.688484999999999790e-04,4.869140740589786321e+07,4.966266000000000000e+07,1.955699904318731308e+00
2.695121999999999774e-04,4.878599778350514919e+07,4.973944000000000000e+07,1.916873644928151377e+00
2.696369000000000001e-04,4.880377000000000000e+07,4.975260644350519776e+07,1.907109016655469613e+00
2.726116000000000108e-04,4.927682782321967930e+07,5.006669000000000000e+07,1.577620123839464483e+00
2.737549999999999836e-04,4.945865937432377785e+07,5.017035000000000000e+07,1.418548257439348426e+00
2.763929999999999946e-04,4.987817278329057246e+07,5.053698000000000000e+07,1.303614139011527007e+00
2.777440000000000160e-04,5.009301835399343073e+07,5.071418000000000000e+07,1.224828334021311749e+00
2.793415999999999955e-04,5.034708000000000000e+07,5.094185672187499702e+07,1.167559959822966675e+00
2.803039999999999915e-04,5.050571064084057510e+07,5.107901000000000000e+07,1.122377585547223555e+00
2.842601000000000264e-04,5.115778740541811287e+07,5.169138000000000000e+07,1.032266104294153442e+00
2.880644000000000130e-04,5.178484325220719725e+07,5.228561000000000000e+07,9.577525208041041127e-01
2.882782999999999873e-04,5.182010000000000000e+07,5.231301264694539458e+07,9.422371643399821695e-01
2.924725000000000089e-04,5.253900684468533844e+07,5.285033000000000000e+07,5.890656790878345817e-01
2.965808000000000116e-04,5.324319000000000000e+07,5.336157475994870067e+07,2.218539473043363852e-01
2.978526000000000220e-04,5.346153984497375041e+07,5.351984000000000000e+07,1.089318559738773340e-01
3.027659000000000144e-04,5.430508308550646901e+07,5.421189000000000000e+07,1.719052508711078342e-01
3.046375000000000255e-04,5.462641000000000000e+07,5.449133741245714575e+07,2.478790096863645875e-01
3.078120000000000270e-04,5.516468272026862204e+07,5.496532000000000000e+07,3.627063760724435482e-01
3.119759000000000160e-04,5.587071950714104623e+07,5.561773000000000000e+07,4.548720473508110484e-01
3.133337000000000253e-04,5.610095000000000000e+07,5.583193001389250904e+07,4.818389513680638170e-01
3.154310000000000230e-04,5.645014131182559580e+07,5.616279000000000000e+07,5.116400232709161777e-01
3.188584999999999965e-04,5.702080512781864405e+07,5.668772000000000000e+07,5.875789815124757842e-01
3.226659999999999901e-04,5.765473728810852021e+07,5.725898000000000000e+07,6.911706916688356017e-01
3.233517999999999896e-04,5.776892000000000000e+07,5.736519573305413872e+07,7.037791151704083648e-01
3.256269000000000112e-04,5.814025422513616085e+07,5.771756000000000000e+07,7.323494360055429198e-01
3.284579000000000253e-04,5.860232059204771370e+07,5.817615000000000000e+07,7.325520716783660014e-01
3.315867999999999810e-04,5.911300920223122835e+07,5.869536000000000000e+07,7.115540346481022960e-01
3.339826999999999965e-04,5.950406000000000000e+07,5.908998728578218818e+07,7.007493709808989557e-01
3.355839000000000109e-04,5.975911233643359691e+07,5.935372000000000000e+07,6.830108313911864570e-01
3.401619999999999731e-04,6.048834984669254720e+07,6.012189000000000000e+07,6.095281547079561824e-01
3.439496000000000111e-04,6.109167000000000000e+07,6.075398584771016985e+07,5.558222190331525425e-01
3.452627999999999904e-04,6.130680739893449843e+07,6.097314000000000000e+07,5.472366995278550306e-01
3.505930000000000092e-04,6.218003719165509939e+07,6.187138000000000000e+07,4.988690920666378759e-01
3.528844000000000056e-04,6.255543000000000000e+07,6.224731921368805319e+07,4.949784026107809098e-01
3.561861999999999949e-04,6.310857570660750568e+07,6.278903000000000000e+07,5.089196418665898891e-01
3.616289999999999761e-04,6.402040000000000000e+07,6.366701272663902491e+07,5.550555275434082558e-01
3.616375999999999814e-04,6.402181941410638392e+07,6.366840000000000000e+07,5.550939148877369611e-01
