time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
9.999999999999999547e-08,0.000000000000000000e+00,0.000000000000000000e+00,nan
1.999999999999999909e-07,7.752103000000000274e-09,7.774471000000000253e-09,2.877108937701353120e-01
2.999999999999999864e-07,1.935323999999999840e-08,1.937342999999999893e-08,1.042148963812837004e-01
3.999999999999999819e-07,3.194540999999999753e-08,3.289520000000000196e-08,2.887320946521086285e+00
4.999999999999999774e-07,4.553759999999999875e-08,4.643682000000000302e-08,1.936437507994742679e+00
5.999999999999999728e-07,5.925186999999999838e-08,6.010773999999999452e-08,1.423893162511177923e+00
6.999999999999999683e-07,7.317447000000000157e-08,7.399552000000000216e-08,1.109594202459825318e+00
7.999999999999999638e-07,8.738440000000000525e-08,8.817885999999999343e-08,9.009642447180516989e-01
8.999999999999999593e-07,1.019555000000000026e-07,1.027299000000000019e-07,7.538214288147844222e-01
9.999999999999999547e-07,1.169574000000000015e-07,1.177165999999999994e-07,6.449387766890973817e-01
1.100000000000000056e-06,1.331435999999999959e-07,1.338854999999999980e-07,5.541302082749828273e-01
1.150000000000000001e-06,1.415320499999999958e-07,1.506356000000000045e-07,6.043425325753014832e+00
1.199999999999999946e-06,1.499204999999999957e-07,1.596017999999999912e-07,6.065909031101150539e+00
1.250000000000000102e-06,1.589694000000000206e-07,1.687428999999999989e-07,5.791947394527401372e+00
1.300000000000000047e-06,1.680182999999999925e-07,1.780785999999999943e-07,5.649359327847367496e+00
1.349999999999999992e-06,1.774540999999999876e-07,1.876234999999999992e-07,5.420109954243478079e+00
1.399999999999999937e-06,1.868899000000000091e-07,1.973917999999999875e-07,5.320332455552854611e+00
1.450000000000000093e-06,1.967733500000000366e-07,2.073972999999999906e-07,5.122511238092277708e+00
1.500000000000000038e-06,2.066568000000000112e-07,2.176529000000000047e-07,5.052126574008429571e+00
1.549999999999999983e-06,2.170431500000000081e-07,2.281712999999999886e-07,4.877103299144099680e+00
1.599999999999999928e-06,2.274295000000000051e-07,2.389647000000000196e-07,4.827156479597201511e+00
1.650000000000000084e-06,2.383695500000000184e-07,2.500449000000000211e-07,4.669301393469733163e+00
1.700000000000000029e-06,2.493095999999999787e-07,2.616955000000000023e-07,4.732943439990379808e+00
1.749999999999999974e-06,2.611235999999999812e-07,2.736490999999999830e-07,4.577212203511725086e+00
1.799999999999999919e-06,2.729375999999999836e-07,2.859295999999999983e-07,4.543775810549175453e+00
1.850000000000000075e-06,2.854084500000000016e-07,2.985527999999999760e-07,4.402688569660032414e+00
1.900000000000000020e-06,2.978793000000000196e-07,3.118118000000000022e-07,4.468240137159653180e+00
1.949999999999999965e-06,3.110739500000000272e-07,3.254520999999999871e-07,4.417900514392121281e+00
1.999999999999999909e-06,3.242685999999999818e-07,3.394926999999999785e-07,4.484367410551095112e+00
2.049999999999999854e-06,3.385531999999999852e-07,3.539475999999999923e-07,4.349344366228223180e+00
2.099999999999999799e-06,3.528377999999999886e-07,3.688306000000000072e-07,4.336082743676912266e+00
2.150000000000000167e-06,3.679885500000000357e-07,3.841549999999999879e-07,4.208314352279666437e+00
2.200000000000000112e-06,3.831392999999999770e-07,3.999337999999999757e-07,4.199319987457924341e+00
2.250000000000000057e-06,3.992054999999999677e-07,4.161800000000000116e-07,4.078643856023846048e+00
2.300000000000000002e-06,4.152717000000000114e-07,4.329063000000000017e-07,4.073537391347732850e+00
2.349999999999999947e-06,4.323062499999999870e-07,4.501255999999999950e-07,3.958750624270205520e+00
2.399999999999999891e-06,4.493408000000000157e-07,4.678505000000000110e-07,3.956327929541594290e+00
2.449999999999999836e-06,4.673957499999999520e-07,4.860931999999999948e-07,3.846474297521554231e+00
2.500000000000000205e-06,4.854507000000000471e-07,5.051340999999999677e-07,3.896668231267681914e+00
2.550000000000000149e-06,5.048492499999999505e-07,5.247289999999999866e-07,3.788574673783998037e+00
2.600000000000000094e-06,5.242477999999999598e-07,5.448823999999999637e-07,3.786982291958779889e+00
2.650000000000000039e-06,5.447840999999999820e-07,5.656094000000000408e-07,3.681922542305707147e+00
2.699999999999999984e-06,5.653204000000000042e-07,5.869223000000000489e-07,3.680538292717799642e+00
2.749999999999999928e-06,5.870417499999999898e-07,6.088327000000000331e-07,3.579135943256668728e+00
2.799999999999999873e-06,6.087630999999999754e-07,6.313519999999999481e-07,3.577861478224504843e+00
2.849999999999999818e-06,6.317145499999998656e-07,6.544868999999999576e-07,3.479420290917984104e+00
2.900000000000000186e-06,6.546659999999999675e-07,6.782495999999999538e-07,3.477127004571766378e+00
2.950000000000000131e-06,6.788896499999999079e-07,7.030006999999999801e-07,3.429733427007977564e+00
3.000000000000000076e-06,7.031132999999999543e-07,7.284015000000000258e-07,3.471739143865034460e+00
3.050000000000000021e-06,7.286552999999999589e-07,7.544727000000000058e-07,3.421913079161120752e+00
3.099999999999999966e-06,7.541972999999999636e-07,7.812310999999999816e-07,3.460410114241486479e+00
3.149999999999999910e-06,7.814374499999999496e-07,8.086787000000000083e-07,3.368612280748838561e+00
3.199999999999999855e-06,8.086776000000000414e-07,8.368344000000000359e-07,3.364680037053925155e+00
3.249999999999999800e-06,8.373301499999999032e-07,8.657108000000000310e-07,3.278306104070796589e+00
3.300000000000000168e-06,8.659826999999999767e-07,8.953225999999999547e-07,3.277019925555322288e+00
3.350000000000000113e-06,8.961112499999999239e-07,9.256830999999999836e-07,3.194597589607075960e+00
3.400000000000000058e-06,9.262397999999999770e-07,9.568053999999999923e-07,3.194547187965286916e+00
3.450000000000000003e-06,9.578997499999999084e-07,9.887016000000000393e-07,3.115383852923887975e+00
3.499999999999999947e-06,9.895596999999999456e-07,1.021715000000000093e-06,3.147188795309860954e+00
3.549999999999999892e-06,1.022798349999999917e-06,1.055523999999999916e-06,3.100417423005066730e+00
3.599999999999999837e-06,1.056037000000000101e-06,1.090151000000000085e-06,3.129291263320400862e+00
3.650000000000000205e-06,1.091262500000000167e-06,1.125878999999999940e-06,3.074619919192006723e+00
3.700000000000000150e-06,1.126488000000000022e-06,1.162466000000000001e-06,3.094972240048309509e+00
3.750000000000000095e-06,1.163414500000000031e-06,1.199937999999999928e-06,3.043782262083532864e+00
3.800000000000000040e-06,1.200341000000000041e-06,1.238306000000000024e-06,3.065881938713046928e+00
3.850000000000000408e-06,1.239305500000000403e-06,1.277586999999999911e-06,2.996390852442887276e+00
3.899999999999999929e-06,1.278269999999999918e-06,1.317794999999999976e-06,2.999328423616727690e+00
3.950000000000000298e-06,1.319097500000000248e-06,1.358940000000000071e-06,2.931880730569401017e+00
3.999999999999999819e-06,1.359924999999999943e-06,1.401033000000000076e-06,2.934120752330611204e+00
4.050000000000000187e-06,1.402674500000000389e-06,1.444080999999999973e-06,2.867325309314338266e+00
4.099999999999999709e-06,1.445423999999999987e-06,1.488088000000000083e-06,2.867034745257007522e+00
4.150000000000000077e-06,1.490156500000000324e-06,1.533059999999999938e-06,2.798553220356647220e+00
4.199999999999999598e-06,1.534889000000000027e-06,1.579003999999999943e-06,2.793849793920719637e+00
4.249999999999999966e-06,1.581653499999999916e-06,1.626204000000000101e-06,2.739539442775948519e+00
4.300000000000000335e-06,1.628418000000000017e-06,1.674411000000000103e-06,2.746816641792253044e+00
4.349999999999999856e-06,1.677536999999999572e-06,1.723936000000000065e-06,2.691457223470041349e+00
